senseval2.d000.s000.t000 art.n.02
senseval2.d000.s024.t000 look.n.02
senseval2.d000.s024.t001 thursday.n.01
senseval2.d000.s024.t002 night.n.01
senseval2.d000.s024.t003 practice.n.01
senseval2.d000.s024.t004 church.n.02
senseval2.d000.s024.t005 district.n.01
senseval2.d000.s024.t007 idea.n.01
senseval2.d000.s024.t008 work.n.01
senseval2.d000.s025.t000 ringer.n.03
senseval2.d000.s025.t002 circle.n.01
senseval2.d000.s025.t003 foot.n.01
senseval2.d000.s025.t005 prizefighter.n.01
senseval2.d000.s025.t006 stance.n.01
senseval2.d000.s025.t008 rope.n.01
senseval2.d000.s025.t010 hole.n.01
senseval2.d000.s025.t012 ceiling.n.01
senseval2.d000.s025.t013 chamber.n.03
senseval2.d000.s026.t002 rope.n.01
senseval2.d000.s026.t006 sound.n.03
senseval2.d000.s026.t007 bell.n.01
senseval2.d000.s026.t009 ceiling.n.01
senseval2.d000.s027.t002 ringer.n.02
senseval2.d000.s027.t007 peripheral_vision.n.01
senseval2.d000.s027.t011 rope.n.01
senseval2.d000.s027.t014 pull.n.01
senseval2.d000.s028.t002 campanile.n.01
senseval2.d000.s028.t004 bronze.n.01
senseval2.d000.s028.t005 bell.n.01
senseval2.d000.s028.t007 wheel.n.01
senseval2.d000.s028.t011 degree.n.04
senseval2.d000.s028.t016 position.n.01
senseval2.d000.s029.t001 ringer.n.04
senseval2.d000.s029.t003 wrist.n.01
senseval2.d000.s029.t006 swing.n.04
senseval2.d000.s029.t008 bell.n.01
senseval2.d000.s029.t010 seat.n.01
senseval2.d000.s029.t011 change.n.03
senseval2.d000.s030.t001 detective_story.n.01
senseval2.d000.s030.t003 church.n.02
senseval2.d000.s030.t004 bell.n.01
senseval2.d000.s030.t006 novelist.n.01
senseval2.d000.s030.t008 love.n.02
senseval2.d000.s030.t010 satisfaction.n.01
senseval2.d000.s030.t012 completeness.n.01
senseval2.d000.s030.t014 perfection.n.01
senseval2.d000.s031.t000 ringer.n.02
senseval2.d000.s031.t006 ritual.n.02
senseval2.d000.s032.t001 spot.n.10
senseval2.d000.s032.t002 obsession.n.02
senseval2.d000.s032.t004 overlord.n.01
senseval2.d000.s032.t005 band.n.02
senseval2.d000.s032.t006 england.n.01
senseval2.d000.s032.t008 female.n.02
senseval2.d000.s032.t009 toller.n.01
senseval2.d000.s033.t000 love.n.02
senseval2.d000.s033.t003 tower.n.01
senseval2.d000.s034.t002 toller.n.01
senseval2.d000.s034.t004 church.n.02
senseval2.d000.s034.t006 bottom.n.01
senseval2.d000.s034.t007 campanile.n.01
senseval2.d000.s035.t000 change.n.03
senseval2.d000.s035.t003 fret.n.01
senseval2.d000.s035.t004 toller.n.01
senseval2.d000.s035.t008 public_house.n.01
senseval2.d000.s035.t010 worship.n.01
senseval2.d000.s036.t001 cleric.n.01
senseval2.d000.s037.t000 membership.n.01
senseval2.d000.s037.t001 anglican_church.n.01
senseval2.d000.s037.t005 vicar.n.03
senseval2.d000.s037.t010 ringer.n.02
senseval2.d000.s037.t012 service.n.03
senseval2.d000.s038.t000 year.n.01
senseval2.d000.s038.t002 vicar.n.03
senseval2.d000.s038.t005 toller.n.01
senseval2.d000.s038.t007 service.n.03
senseval2.d000.s038.t010 band.n.02
senseval2.d000.s038.t011 toller.n.01
senseval2.d000.s038.t014 picket_line.n.01
senseval2.d000.s038.t015 protest.n.02
senseval2.d000.s039.t000 club.n.02
senseval2.d000.s039.t002 tower.n.01
senseval2.d000.s039.t003 kind.n.01
senseval2.d000.s039.t005 premises.n.01
senseval2.d000.s040.t001 band.n.02
senseval2.d000.s040.t002 today.n.01
senseval2.d000.s040.t003 member.n.01
senseval2.d000.s040.t004 congregation.n.01
senseval2.d000.s041.t002 toller.n.01
senseval2.d000.s041.t005 bell.n.01
senseval2.d000.s042.t000 bell.n.01
senseval2.d000.s042.t004 quarrel.n.01
senseval2.d000.s042.t005 church.n.02
senseval2.d000.s042.t006 attendance.n.01
senseval2.d000.s043.t000 vicar.n.01
senseval2.d000.s044.t000 vicar.n.01
senseval2.d000.s044.t002 church.n.02
senseval2.d000.s044.t004 defect.n.03
senseval2.d000.s044.t005 stairs.n.01
senseval2.d000.s044.t006 bell_tower.n.01
senseval2.d000.s044.t009 altar.n.01
senseval2.d000.s045.t001 crunch.n.01
senseval2.d000.s045.t002 crunch.n.01
senseval2.d000.s045.t003 crunch.n.01
senseval2.d000.s045.t004 bang.n.02
senseval2.d000.s045.t005 bang.n.02
senseval2.d000.s045.t006 bang.n.02
senseval2.d000.s045.t009 toller.n.01
senseval2.d000.s045.t014 exit.n.01
senseval2.d000.s045.t015 congregation.n.01
senseval2.d000.s045.t016 prayer.n.01
senseval2.d000.s046.t002 feelings.n.01
senseval2.d000.s046.t003 issue.n.01
senseval2.d000.s046.t004 vicar.n.03
senseval2.d000.s046.t006 toller.n.01
senseval2.d000.s047.t000 sound.n.02
senseval2.d000.s047.t001 bell.n.01
senseval2.d000.s047.t003 people.n.01
senseval2.d000.s047.t004 church.n.02
senseval2.d000.s048.t001 promise.n.02
senseval2.d000.s048.t002 toller.n.01
senseval2.d000.s048.t005 life.n.01
senseval2.d000.s049.t000 kind.n.01
senseval2.d000.s049.t001 parliament.n.01
senseval2.d000.s049.t002 group.n.01
senseval2.d000.s049.t005 relations.n.01
senseval2.d000.s049.t006 vicar.n.01
senseval2.d000.s049.t008 president.n.04
senseval2.d000.s050.t002 student.n.01
senseval2.d000.s050.t004 college.n.01
senseval2.d000.s050.t005 joy.n.02
senseval2.d000.s050.t006 bell_ringing.n.03
senseval2.d000.s050.t009 booklet.n.01
senseval2.d000.s050.t010 vicar.n.01
senseval2.d000.s050.t011 country.n.04
senseval2.d000.s050.t013 bell.n.01
senseval2.d000.s050.t014 care.n.04
senseval2.d000.s051.t001 mister.n.01
senseval2.d000.s051.t006 precedence.n.01
senseval2.d000.s051.t007 church.n.01
senseval2.d000.s051.t008 life.n.01
senseval2.d000.s051.t009 experience.n.02
senseval2.d000.s052.t000 mister.n.01
senseval2.d000.s052.t004 problem.n.01
senseval2.d000.s052.t005 lack.n.01
senseval2.d000.s052.t006 ringer.n.02
senseval2.d000.s053.t000 sketch.n.03
senseval2.d000.s053.t003 toller.n.01
senseval2.d000.s053.t004 england.n.01
senseval2.d000.s053.t005 today.n.01
senseval2.d000.s054.t001 toller.n.01
senseval2.d000.s054.t004 bell.n.01
senseval2.d000.s054.t009 parish.n.01
senseval2.d000.s054.t010 inner_city.n.01
senseval2.d000.s055.t000 council.n.01
senseval2.d000.s055.t001 plan.n.01
senseval2.d000.s055.t004 ringer.n.02
senseval2.d000.s055.t009 mister.n.01
senseval2.d000.s056.t003 year.n.01
senseval2.d000.s056.t006 toller.n.01
senseval2.d000.s057.t001 sign.n.01
senseval2.d000.s057.t003 number.n.01
senseval2.d000.s057.t004 woman.n.01
senseval2.d000.s057.t007 field.n.06
senseval2.d000.s057.t009 one-third.n.01
senseval2.d000.s057.t010 toller.n.01
senseval2.d000.s057.t011 today.n.01
senseval2.d000.s057.t012 woman.n.01
senseval2.d000.s059.t000 bell_ringing.n.03
senseval2.d000.s059.t001 group.n.01
senseval2.d000.s059.t002 country.n.02
senseval2.d000.s059.t005 fact.n.01
senseval2.d000.s059.t008 woman.n.01
senseval2.d000.s059.t009 group.n.01
senseval2.d000.s059.t010 source.n.04
senseval2.d000.s059.t011 toller.n.01
senseval2.d000.s059.t012 united_kingdom.n.01
senseval2.d000.s059.t015 church.n.02
senseval2.d000.s060.t000 united_kingdom.n.01
senseval2.d000.s060.t001 woman.n.01
senseval2.d000.s060.t003 equal_opportunity.n.01
senseval2.d000.s060.t004 lawsuit.n.01
senseval2.d000.s060.t005 extent.n.01
senseval2.d000.s060.t006 problem.n.01
senseval2.d000.s060.t008 summer.n.01
senseval2.d000.s060.t009 series.n.01
senseval2.d000.s060.t010 letter.n.01
senseval2.d000.s060.t012 newspaper.n.01
senseval2.d000.s060.t013 toller.n.01
senseval2.d000.s061.t000 writer.n.02
senseval2.d000.s061.t002 letter.n.01
senseval2.d000.s061.t005 male.n.02
senseval2.d000.s061.t007 frequency.n.01
senseval2.d000.s061.t008 woman.n.01
senseval2.d000.s061.t014 role.n.04
senseval2.d000.s061.t016 tea.n.01
senseval2.d000.s061.t017 meeting.n.01
senseval2.d000.s062.t000 flood.n.02
senseval2.d000.s062.t001 answer.n.01
senseval2.d000.s062.t003 woman.n.01
senseval2.d000.s062.t004 ringer.n.02
senseval2.d000.s062.t008 ringer.n.02
senseval2.d000.s062.t011 batch.n.02
senseval2.d000.s062.t016 acne.n.01
senseval2.d000.s063.t000 woman.n.01
senseval2.d000.s063.t003 year.n.01
senseval2.d000.s063.t006 lady.n.01
senseval2.d000.s063.t008 campanile.n.01
senseval2.d000.s064.t001 serviceman.n.01
senseval2.d001.s000.t001 scientist.n.01
senseval2.d001.s000.t003 handful.n.01
senseval2.d001.s000.t004 gene.n.01
senseval2.d001.s000.t008 growth.n.01
senseval2.d001.s000.t009 cell.n.02
senseval2.d001.s000.t011 cancer.n.01
senseval2.d001.s001.t000 scientist.n.01
senseval2.d001.s001.t002 discovery.n.01
senseval2.d001.s001.t003 gene.n.01
senseval2.d001.s001.t005 calendar_month.n.01
senseval2.d001.s001.t009 cancer.n.01
senseval2.d001.s002.t001 understanding.n.01
senseval2.d001.s002.t002 gene.n.01
senseval2.d001.s002.t005 array.n.01
senseval2.d001.s002.t007 scheme.n.01
senseval2.d001.s002.t009 cancer.n.01
senseval2.d001.s002.t010 treatment.n.01
senseval2.d001.s002.t011 prevention.n.01
senseval2.d001.s003.t000 future.n.01
senseval2.d001.s004.t001 scientist.n.01
senseval2.d001.s004.t003 trial.n.02
senseval2.d001.s004.t007 gene.n.01
senseval2.d001.s004.t009 time.n.01
senseval2.d001.s004.t013 person.n.01
senseval2.d001.s004.t016 cancer.n.01
senseval2.d001.s005.t000 set.n.01
senseval2.d001.s005.t001 discovery.n.03
senseval2.d001.s005.t003 research_worker.n.01
senseval2.d001.s005.t006 gene.n.01
senseval2.d001.s005.t009 colon.n.01
senseval2.d001.s005.t010 cancer.n.01
senseval2.d001.s006.t001 decade.n.01
senseval2.d001.s006.t003 cancer.n.01
senseval2.d001.s006.t005 nothing.n.01
senseval2.d001.s006.t007 degree.n.02
senseval2.d001.s007.t000 today.n.01
senseval2.d001.s007.t002 accretion.n.01
senseval2.d001.s007.t004 gene.n.01
senseval2.d001.s007.t006 cancer.n.01
senseval2.d001.s007.t010 state.n.02
senseval2.d001.s008.t000 scientist.n.01
senseval2.d001.s008.t003 class.n.01
senseval2.d001.s008.t004 gene.n.01
senseval2.d001.s008.t007 gene.n.01
senseval2.d001.s009.t003 protein.n.01
senseval2.d001.s009.t005 cell.n.02
senseval2.d001.s009.t006 growth.n.01
senseval2.d001.s010.t000 gene.n.01
senseval2.d001.s010.t003 radiation.n.01
senseval2.d001.s010.t004 chemical.n.01
senseval2.d001.s010.t006 accident.n.02
senseval2.d001.s010.t007 cell.n.02
senseval2.d001.s010.t008 division.n.03
senseval2.d001.s010.t009 protein.n.01
senseval2.d001.s010.t012 cell.n.02
senseval2.d001.s011.t002 gene.n.01
senseval2.d001.s011.t004 class.n.01
senseval2.d001.s011.t005 gene.n.01
senseval2.d001.s011.t009 oncogene.n.01
senseval2.d001.s012.t000 oncogene.n.01
senseval2.d001.s012.t002 cell.n.02
senseval2.d001.s012.t005 research_worker.n.01
senseval2.d001.s012.t009 cell.n.02
senseval2.d001.s012.t011 oncogene.n.01
senseval2.d001.s012.t013 cancer.n.01
senseval2.d001.s013.t001 calendar_month.n.01
senseval2.d001.s013.t002 research_worker.n.01
senseval2.d001.s013.t005 type.n.01
senseval2.d001.s013.t006 cancer.n.01
senseval2.d001.s013.t007 gene.n.01
senseval2.d001.s013.t010 oncogene.n.01
senseval2.d001.s013.t013 cell.n.02
senseval2.d001.s013.t016 gene.n.01
senseval2.d001.s014.t000 gene.n.01
senseval2.d001.s014.t001 gene.n.01
senseval2.d001.s014.t003 copy.n.02
senseval2.d001.s014.t004 parent.n.01
senseval2.d001.s015.t000 copy.n.02
senseval2.d001.s015.t002 protein.n.01
senseval2.d001.s015.t005 cell.n.02
senseval2.d001.s015.t006 growth.n.01
senseval2.d001.s015.t007 cancer.n.01
senseval2.d001.s015.t009 copy.n.02
senseval2.d001.s016.t000 person.n.01
senseval2.d001.s016.t003 copy.n.02
senseval2.d001.s016.t004 suppressor.n.02
senseval2.d001.s016.t005 copy.n.02
senseval2.d001.s016.t008 life.n.03
senseval2.d001.s016.t010 cancer.n.01
senseval2.d001.s016.t015 copy.n.02
senseval2.d001.s016.t016 cancer.n.01
senseval2.d001.s017.t002 trial.n.02
senseval2.d001.s017.t006 person.n.01
senseval2.d001.s017.t008 scientist.n.01
senseval2.d001.s017.t011 historic_period.n.01
senseval2.d001.s017.t013 cancer.n.01
senseval2.d001.s017.t014 diagnosis.n.01
senseval2.d001.s018.t001 beneficiary.n.01
senseval2.d001.s018.t003 determination.n.01
senseval2.d001.s019.t000 couple.n.02
senseval2.d001.s019.t006 child.n.02
senseval2.d001.s019.t007 opportunity.n.01
senseval2.d001.s019.t008 risk.n.03
senseval2.d001.s019.t009 retinoblastoma.n.01
senseval2.d001.s019.t010 eye.n.01
senseval2.d001.s019.t011 cancer.n.01
senseval2.d001.s019.t015 birth.n.01
senseval2.d001.s020.t003 gene.n.01
senseval2.d001.s020.t005 eye.n.01
senseval2.d001.s020.t007 tumor.n.01
senseval2.d001.s020.t009 mother.n.01
senseval2.d001.s020.t012 destiny.n.01
senseval2.d001.s020.t013 baby.n.01
senseval2.d001.s021.t000 isolation.n.03
senseval2.d001.s021.t001 retinoblastoma.n.01
senseval2.d001.s021.t002 gene.n.01
senseval2.d001.s021.t006 january.n.01
senseval2.d001.s021.t008 menace.n.01
senseval2.d001.s021.t009 baby.n.01
senseval2.d001.s022.t000 trial.n.02
senseval2.d001.s022.t008 retinoblastoma.n.01
senseval2.d001.s022.t009 suppressor.n.02
senseval2.d001.s022.t013 hazard.n.01
senseval2.d001.s022.t015 child.n.01
senseval2.d001.s022.t018 cancer.n.01
senseval2.d001.s023.t001 new_year.n.01
senseval2.d001.s024.t000 trial.n.02
senseval2.d001.s024.t004 person.n.01
senseval2.d001.s024.t007 cancer.n.01
senseval2.d001.s025.t003 discovery.n.01
senseval2.d001.s025.t004 gene.n.01
senseval2.d001.s025.t007 cell.n.02
senseval2.d001.s025.t008 growth.n.01
senseval2.d001.s025.t010 doctor.n.01
senseval2.d001.s025.t013 discipline.n.01
senseval2.d001.s025.t014 cancer.n.01
senseval2.d001.s025.t015 survey.n.01
senseval2.d001.s025.t017 calendar_month.n.01
senseval2.d001.s026.t004 tumor.n.01
senseval2.d001.s026.t008 penetration.n.02
senseval2.d001.s026.t010 cancer.n.01
senseval2.d001.s026.t012 director.n.01
senseval2.d001.s027.t001 populace.n.01
senseval2.d001.s027.t003 improvement.n.01
senseval2.d001.s027.t004 treatment.n.01
senseval2.d001.s027.t006 research.n.01
senseval2.d001.s027.t009 consequence.n.01
senseval2.d001.s028.t001 scientist.n.01
senseval2.d001.s029.t001 retinoblastoma.n.01
senseval2.d001.s029.t002 discovery.n.01
senseval2.d001.s030.t002 spring.n.01
senseval2.d001.s030.t003 research_worker.n.01
senseval2.d001.s030.t006 gene.n.01
senseval2.d001.s030.t011 colon.n.01
senseval2.d001.s030.t012 cell.n.02
senseval2.d001.s031.t001 report.n.01
senseval2.d001.s031.t003 research.n.01
senseval2.d001.s031.t004 team.n.01
senseval2.d001.s031.t005 evidence.n.01
senseval2.d001.s031.t008 gene.n.01
senseval2.d001.s031.t010 tissue.n.01
senseval2.d001.s031.t011 lung.n.01
senseval2.d001.s031.t012 breast.n.02
senseval2.d001.s031.t013 cancer.n.01
senseval2.d001.s032.t000 colon.n.01
senseval2.d001.s032.t001 lung.n.01
senseval2.d001.s032.t002 breast.n.02
senseval2.d001.s032.t003 cancer.n.01
senseval2.d001.s032.t007 kind.n.01
senseval2.d001.s032.t008 disease.n.01
senseval2.d001.s032.t012 american.n.01
senseval2.d001.s032.t013 year.n.01
senseval2.d001.s033.t003 twelve.n.01
senseval2.d001.s033.t004 lab.n.01
senseval2.d001.s033.t005 united_states.n.01
senseval2.d001.s033.t006 canada.n.01
senseval2.d001.s033.t007 united_kingdom.n.01
senseval2.d001.s033.t010 gene.n.01
senseval2.d001.s035.t000 research_worker.n.01
senseval2.d001.s035.t002 gene.n.01
senseval2.d001.s035.t004 combination.n.01
senseval2.d001.s035.t007 growth.n.01
senseval2.d001.s035.t009 terror.n.02
senseval2.d001.s035.t010 cancer.n.01
senseval2.d001.s035.t011 brain.n.01
senseval2.d001.s035.t012 skin.n.01
senseval2.d001.s035.t013 kidney.n.01
senseval2.d001.s035.t014 prostate_gland.n.01
senseval2.d001.s035.t015 neck.n.01
senseval2.d001.s036.t000 evidence.n.01
senseval2.d001.s036.t001 people.n.01
senseval2.d001.s036.t004 version.n.02
senseval2.d001.s036.t005 gene.n.01
senseval2.d001.s036.t007 cancer.n.01
senseval2.d001.s036.t011 cancer.n.01
senseval2.d001.s036.t015 class.n.01
senseval2.d001.s037.t000 narrative.n.01
senseval2.d001.s037.t001 gene.n.01
senseval2.d001.s037.t003 seventies.n.01
senseval2.d001.s037.t004 baby_doctor.n.01
senseval2.d001.s037.t007 retinoblastoma.n.01
senseval2.d001.s037.t011 defect.n.01
senseval2.d001.s038.t001 eye.n.01
senseval2.d001.s038.t002 cancer.n.01
senseval2.d001.s038.t003 baby.n.01
senseval2.d001.s038.t006 copy.n.02
senseval2.d001.s038.t007 gene.n.01
senseval2.d001.s038.t008 parent.n.01
senseval2.d001.s038.t010 copy.n.02
senseval2.d001.s039.t000 tumor.n.01
senseval2.d001.s039.t005 copy.n.02
senseval2.d001.s040.t000 means.n.01
senseval2.d001.s040.t002 theory.n.01
senseval2.d001.s041.t002 scientist.n.01
senseval2.d001.s041.t003 means.n.01
senseval2.d001.s041.t006 gene.n.01
senseval2.d001.s041.t007 microscope.n.01
senseval2.d001.s041.t009 pair.n.01
senseval2.d001.s041.t010 chromosome.n.01
senseval2.d001.s041.t011 cell.n.02
senseval2.d001.s041.t013 gene.n.01
senseval2.d001.s042.t002 chromosome.n.01
senseval2.d001.s042.t003 damage.n.01
senseval2.d001.s043.t001 child.n.01
senseval2.d001.s043.t002 eye.n.01
senseval2.d001.s043.t003 cancer.n.01
senseval2.d001.s043.t006 copy.n.02
senseval2.d001.s043.t007 chromosome.n.01
senseval2.d001.s043.t008 ordinal_number.n.01
senseval2.d001.s043.t009 parent.n.01
senseval2.d001.s043.t010 disease.n.01
senseval2.d001.s044.t000 microscope.n.01
senseval2.d001.s044.t003 spot.n.10
senseval2.d001.s044.t004 chromosome.n.01
senseval2.d001.s045.t002 piece.n.02
senseval2.d001.s045.t004 gene.n.01
senseval2.d001.s045.t005 gene.n.01
senseval2.d001.s045.t006 loss.n.01
senseval2.d001.s045.t008 function.n.03
senseval2.d001.s045.t010 cancer.n.01
senseval2.d001.s046.t001 gene.n.01
senseval2.d001.s046.t002 gene.n.01
senseval2.d001.s047.t002 team.n.01
senseval2.d001.s047.t005 geneticist.n.01
senseval2.d001.s047.t008 solution.n.02
senseval2.d001.s048.t000 team.n.01
senseval2.d001.s048.t002 battery.n.03
senseval2.d001.s048.t005 gene.n.01
senseval2.d001.s048.t006 snip.n.01
senseval2.d001.s048.t008 material.n.01
senseval2.d001.s048.t010 gene.n.01
senseval2.d001.s048.t011 presence.n.01
senseval2.d001.s048.t012 cell.n.01
senseval2.d001.s049.t001 cell.n.02
senseval2.d001.s049.t003 eye.n.01
senseval2.d001.s049.t004 tumor.n.01
senseval2.d001.s049.t006 defect.n.01
senseval2.d001.s049.t008 copy.n.02
senseval2.d001.s049.t009 chromosome.n.01
senseval2.d001.s049.t011 area.n.03
senseval2.d001.s049.t013 copy.n.02
senseval2.d001.s049.t014 chromosome.n.01
senseval2.d001.s050.t000 determination.n.01
senseval2.d001.s050.t001 medicine.n.02
senseval2.d001.s051.t001 time.n.01
senseval2.d001.s051.t003 loss.n.01
senseval2.d001.s051.t004 copy.n.02
senseval2.d001.s051.t006 gene.n.01
senseval2.d001.s051.t008 eruption.n.02
senseval2.d001.s051.t009 cancer.n.01
senseval2.d001.s053.t001 retinoblastoma.n.01
senseval2.d001.s053.t003 cancer.n.01
senseval2.d001.s054.t001 claim.n.03
senseval2.d001.s055.t002 biologist.n.01
senseval2.d001.s055.t007 experiment.n.01
senseval2.d001.s055.t008 cell.n.02
senseval2.d001.s055.t010 cancer.n.01
senseval2.d001.s056.t000 research.n.01
senseval2.d001.s056.t001 team.n.01
senseval2.d001.s056.t004 chromosome.n.01
senseval2.d001.s056.t005 loss.n.01
senseval2.d001.s056.t007 childhood.n.01
senseval2.d001.s056.t008 cancer.n.01
senseval2.d001.s056.t009 kidney.n.01
senseval2.d001.s056.t011 tumor.n.01
senseval2.d001.s057.t002 attention.n.01
senseval2.d001.s057.t003 colon.n.01
senseval2.d001.s057.t004 cancer.n.01
senseval2.d001.s057.t007 cancer.n.01
senseval2.d001.s057.t008 cause_of_death.n.01
senseval2.d001.s057.t009 united_states.n.01
senseval2.d001.s057.t010 lung.n.01
senseval2.d001.s057.t011 cancer.n.01
senseval2.d001.s058.t001 colon.n.01
senseval2.d001.s058.t002 cancer.n.01
senseval2.d001.s058.t006 cancer.n.01
senseval2.d001.s058.t007 suppressor.n.02
senseval2.d001.s058.t011 degree.n.02
senseval2.d001.s059.t002 growth.n.01
senseval2.d001.s059.t003 polyp.n.01
senseval2.d001.s059.t004 intestine.n.01
senseval2.d001.s059.t005 case.n.01
senseval2.d001.s059.t010 degree.n.02
senseval2.d001.s059.t016 damage.n.01
senseval2.d001.s060.t001 student.n.01
senseval2.d001.s060.t003 calendar_month.n.01
senseval2.d001.s060.t008 chromosome.n.01
senseval2.d001.s060.t010 sign.n.01
senseval2.d001.s060.t012 damage.n.01
senseval2.d001.s061.t002 assortment.n.01
senseval2.d001.s061.t006 polyp.n.01
senseval2.d001.s061.t008 cell.n.02
senseval2.d001.s061.t010 polyp.n.01
senseval2.d001.s061.t012 cell.n.02
senseval2.d001.s062.t002 mental_picture.n.01
senseval2.d001.s062.t003 cancer.n.01
senseval2.d001.s062.t004 growth.n.01
senseval2.d001.s063.t000 copy.n.02
senseval2.d001.s063.t002 gene.n.01
senseval2.d001.s063.t004 polyp.n.01
senseval2.d001.s064.t000 copy.n.02
senseval2.d001.s064.t002 gene.n.01
senseval2.d001.s064.t005 polyp.n.01
senseval2.d001.s064.t007 malignancy.n.01
senseval2.d001.s065.t002 gene.n.01
senseval2.d001.s065.t004 colon.n.01
senseval2.d001.s065.t005 cancer.n.01
senseval2.d001.s066.t000 report.n.01
senseval2.d001.s066.t004 biologist.n.01
senseval2.d001.s067.t001 evidence.n.01
senseval2.d001.s067.t003 gene.n.01
senseval2.d001.s067.t004 loss.n.02
